0.03296,2.64947,0.00724,2.44657,0.05342,2.03617,0.29997,1.31118,0.14673,1.8055,0.37456,1.06314,0.16083,1.54167,0.39978,1.11251,0,0,0,0,0,0,0,0,0,0
0.05558,2.53729,0.01362,2.31383,0.00971,2.49583,0.18549,1.44545,0.83925,1.41042,0.20482,1.21118,0.03476,1.96728,0.13848,1.38517,0.45301,0,0,0,0,0,0,0,0,0
0.04025,2.58485,0.00489,2.56521,0.01895,2.32442,0.33684,1.27002,0.60416,1.38566,0.0038,2.29696,0.12266,1.58604,0.62708,0.91546,0.049,0.005,0.006,0.015,0.019,0.002,0.146,0.0189,0.018,0.056
0.00703,3.21395,0.00185,2.95146,0.03067,2.28399,0.36273,1.30946,0.264,1.88794,0.01421,2.21262,0.09709,1.84969,0.09512,1.65379,0,0,0,0,0,0,0,0,0,0
0.00654,3.24937,0.00171,2.98598,0.01812,2.45742,0.33706,1.37648,0.35457,1.78958,0.05258,1.80927,0.10495,1.82262,0.04476,1.8596,0.65653,0,0,0,0,0,0,0,0,0
0.00561,3.28448,0.00119,3.08634,0.02552,2.2864,0.43257,1.26477,0.21285,1.9071,0.05473,1.72066,0.03889,2.04718,0.0163,2.10392,0.003,0.038,0.048,0.009,0.012,0.172,0.011,0.014,0.212,0.052
4.40976,0.0108,0.98347,0.00112,3.41091,0.00183,6.51051,0.00054,0.00817,0.87756,0.00102,0.90628,0.00176,0.94833,0.1221,0.48179,0,0,0,0,0,0,0,0,0,0
2.04443,0.01071,0.06656,0.00117,0.39515,0.00202,8.54923,0.00053,1.30297,0.37101,0.00283,0.80449,0.00194,0.93536,0.02312,0.62143,0.79998,0,0,0,0,0,0,0,0,0
2.03236,0.01118,0.01792,0.0012,4.41761,0.00189,6.69359,0.0006,0.00192,1.00662,0.00007,1.17803,0.00012,1.18941,0.00823,0.75083,0,0,0,0,0,0,0,0,0,0
0.02003,0.94459,0.00703,0.83064,0.00759,0.8715,0.31962,0.43627,0.00173,0.98243,0.01082,0.67685,0.00022,1.13529,0.01799,0.67278,0,0,0,0,0,0,0,0,0,0
0.08308,0.81306,0.00182,0.95855,0.00817,0.87215,0.24301,0.46693,0.25291,0.53058,0.0019,0.84466,0.0187,0.71857,0.01611,0.65492,0.17154,0,0,0,0,0,0,0,0,0
0.02389,0.93216,0.00127,0.99646,0.00431,0.92709,0.19428,0.48666,0.00411,0.90942,0.00008,1.12279,0.0016,0.94195,0.04857,0.54413,0.329,0.039,0.02,0.342,0.172,0.021,0.71,0.358,0.043,0.371
